Fine_name,Keywords,label1,label2
,hasselbalch equation 0.02489902573297087,1,1
,hydroxide 0.024446209293829704,1,1
,acid–base titration 0.02249560780375487,1,0
,titration 0.020017563105342907,1,0
,carbonic acid 0.019869679974331613,0,0
,hcl sametime 0.019620877183171875,0,0
,conjugate acid 0.01958760663955126,1,0
,magnesium hydroxide 0.018743408550702632,0,0
,order of magnitude (molar concentration) 0.018705145436518238,1,1
,bicarbonate buffer system 0.01866449170224078,0,0
,copper(ii) hydroxide 0.01856103901091603,0,0
,,,
science_qa33eab9fa-9359-4975-a860-ac7eb3a293e2,energy 0.30428031506726605,1,1
,total energy 0.29151330369784595,1,1
,energy transformation 0.23360675871557557,1,1
,conservation 0.08782053996054312,1,1
,system 0.054162793299431265,1,0
,law 0.028616289259338224,1,0
,conservation of energy 0.04499326906780079,1,1
,transfer of energy 0.04473501375951368,0,1
,energy density 0.04126803505122531,0,0
,energy homeostasis 0.040315586914506464,0,0
,energy transition 0.040094350559777524,1,1
,kinetic energy 0.03866856242068641,0,0
,potential energy 0.038540188038827305,0,0
,energy consumption 0.03647181646085142,0,0
,fermi energy 0.036177901608357585,0,0
,,,
science_qabeb3fa47-33e4-4437-abaa-b255962dc5e6,momentum 0.36002696620376073,1,1
,force 0.19159670204124538,1,1
,change 0.17436435349076712,0,0
,physical quantity 0.16424454299353516,0,1
,rate 0.1097674352706916,0,1
,momentum transfer 0.03851237514201796,0,0
,angular momentum 0.03827888526098734,0,0
,momentum operator 0.03777420394111176,0,0
,angular momentum operator 0.03492429610735154,0,0
,lorentz force 0.03430679537251274,0,0
,dimensionless quantity 0.033538549846631814,0,0
,momentum (disambiguation) 0.03240227606429706,1,1
,momentum (finance) 0.0320013389865219,0,0
,spin (physics) 0.02926905086705687,0,0
,,,
science_qac57d6e68-79fc-48d6-8158-2e0664fe63ff,nucleic acid molecule 0.10539363154874695,1,1
,dna 0.10411959906446447,1,1
,rna molecule 0.10367302373890426,1,1
,organism 0.09492712514786955,0,0
,deoxyribonucleic acid 0.09188208517516165,1,1
,protein 0.0841023898380888,1,0
,cell 0.0762553998755469,0,0
,genetic instruction 0.06266903931359201,1,1
,blueprint 0.046095354610860645,1,0
,component 0.04387826341590361,0,0
,nucleic acid structure 0.021283842843062693,1,0
,nucleic acid secondary structure 0.021188302848110924,1,0
,dna polymerase 0.020900394610210975,1,0
,peptide nucleic acid 0.020538125605990797,1,0
,dna replication 0.020472740806955356,0,0
,molecular structure of nucleic acids: a structure for deoxyribose nucleic acid 0.020360844916083743,1,0
,dna sequencing 0.02023121970228698,0,0
,nucleic acid 0.020026485553591725,1,1
,mitochondrial dna 0.019820178967828284,1,0
,nucleic acid hybridization 0.019772503320518456,0,0
,,,
science_qac58cb615-f2ca-4210-9032-32b3f5af5eed,chromosome 0.2304892536658249,1,1
,human cell 0.1910894589563808,1,1
,cell 0.13066369481594084,1,0
,human 0.09797791932508897,1,0
,pair 0.08756887575023418,0,0
,structure 0.08215854479875451,0,0
,individual 0.05698652062736627,0,0
,information 0.053843264679786035,0,0
,number 0.049204290511328894,0,0
,thread 0.02001817686929466,1,0
,list of distinct cell type in the adult human body 0.020276893098475444,0,0
,homologous chromosome 0.019827359356547575,0,0
,cell (biology) 0.01953319841034398,1,1
,human genome 0.019404472648262148,1,1
,cell membrane 0.01825431496260512,0,0
,meiosis 0.018231622765985427,0,0
,sex chromosome 0.018140667429581883,0,0
,cell division 0.017781592729464675,0,0
,cell culture 0.017720465737675585,0,0
,embryonic stem cell 0.017392886039847205,0,0
,,,
science0a430497-f28e-40dc-aa3f-88f1b597017a,oxygen molecule 0.035363543855277145,1,1
,molecular oxygen 0.03532880386548171,1,1
,air molecule 0.03446097862214521,0,1
,o_2 molecule 0.0344562208961873,1,1
,zinc molecule 0.032622366264772634,1,1
,zinc oxide molecule 0.032620435087854026,1,1
,overall cell reaction 0.03221692237333117,0,1
,water molecule 0.028752526890918978,0,0
,reactant 0.028709060963718547,0,1
,cell potential 0.028026160489918725,1,1
,electrochemical cell 0.021750680634860933,0,0
,electrolytic cell 0.021097523613418184,0,0
,chemical kinetics 0.020795607705580244,1,1
,allotrope of oxygen 0.020118751829722024,0,0
,manganese dioxide 0.01991486051758746,0,0
,liquid oxygen 0.01981974117836459,0,0
,diatomic molecule 0.01964595705821756,0,0
,phosphoric acid fuel cell 0.019480449560049837,0,0
,polymer electrolyte membrane electrolysis 0.01933040456858895,0,0
,solid oxygen 0.019272404745241417,0,0
,,,
science0aa30d4b-107a-4d79-bad0-6d3e9145d34e,conjugate acid h3o 0.028682684315301625,1,1
,hydrochloric acid 0.027107355321284603,0,0
,hydrogen ion 0.026804444009901302,0,1
,sodium ion 0.026330537641658786,0,0
,strong acid 0.02581156523268008,1,0
,hydrofluoric acid 0.025753680045442474,0,0
,fluoride minus ion 0.02571765621688077,1,1
,hcl 0.02556547030928909,0,0
,fluoride ion 0.02554833149388746,1,1
,weak acid 0.02480715627634844,1,1
,conjugate acid 0.023372131945993503,1,1
,acid–base reaction 0.022915232411395155,1,1
,nitric acid 0.02282049199635152,0,0
,acid dissociation constant 0.02204797497187697,1,1
,hydrochloric acid regeneration 0.02191577817211842,1,0
,phosphoric acid 0.021522389414140995,0,0
,acid–base titration 0.02121462603230758,1,0
,hydrogen chloride 0.020997549430540573,0,0
,benzenesulfonic acid 0.02090215469034883,0,0
,,,
science0aaf8337-078e-4ba9-be75-ed70624408f3,lung tissue 0.017333141331138637,1,1
,right lung 0.016981466953477038,1,0
,left lung 0.01659957397637196,1,0
,lung 0.015932026341561142,1,1
,alveolus 0.015751487981550506,1,1
,lung infection 0.014329487788563336,1,1
,airway 0.013451282764642473,1,1
,capillary 0.013430956246656788,1,1
,alveolar tissue 0.01337359805189964,1,1
,oxygen 0.01332862004619501,1,1
,interstitial lung disease 0.02247265955237066,1,1
,adenocarcinoma of the lung 0.02211100510898222,0,0
,root of the lung 0.02114508234716524,1,0
,respiratory tract 0.020982997028030703,1,1
,lung cavity 0.020593520696356896,1,0
,lung transplantation 0.020267318360606017,1,0
,pulmonary artery 0.02014194447644612,0,0
,pulmonary fibrosis 0.020140297290978836,0,0
,pulmonary consolidation 0.01983456303271784,0,0
,,,
science0ac4f68b-7929-4cf5-8bba-8e6ee9a0d856,yellow particle 0.04181303770439258,0,0
,particle 0.04019167055912638,0,1
,concentration gradient 0.03995861320902404,1,1
,unique concentration gradient 0.038601597367470965,1,1
,diffusion 0.03851862510955478,1,1
,second particle 0.038260874478430365,0,0
,purple particle 0.03791045307209494,0,0
,anomalous diffusion 0.02842007284499948,1,1
,electrochemical gradient 0.02741618578319147,0,0
,molecular diffusion 0.026883750596054214,1,1
,fick's law of diffusion 0.025213466169828634,0,0
,diffusion current 0.024840621720315856,0,0
,massless particle 0.024741425649499105,0,0
,elementary particle 0.024622245704754107,0,0
,particle physic 0.024569404967314776,0,0
,rayleigh scattering 0.024298524200787087,0,0
,facilitated diffusion 0.024267333018749553,1,0
,,,
science0ac26d73-a314-43fd-ab1d-5456e1c98208,initial concentration time e 0.0378082591238779,1,1
,exponential decay 0.03501762701632806,1,1
,exponential decay graph 0.03445523979748343,1,1
,reactant 0.0323789045053712,1,0
,initial concentration 0.03196696830405045,1,1
,theoretical reaction 0.03012879329146276,1,0
,natural log 0.029741994178240447,0,1
,negative natural log 0.029595777934861244,0,0
,rate law 0.029175947147300412,1,1
,concentration 0.027273091522796368,1,0
,natural logarithm of 2 0.023405345160295927,0,0
,dilution (equation) 0.022590967868017862,1,0
,natural logarithm 0.022359421528858656,0,1
,exponential function 0.02212157055886395,0,1
,cottrell equation 0.0220943694316912,1,0
,logarithmic derivative 0.022070211470502532,0,0
,rate equation 0.02184691166837142,1,0
,chemical kinetics 0.02167538350810124,1,1
,laplace transform 0.021061834740539312,1,0
,e (mathematical constant) 0.021026302449019416,0,0
,,,
,,,
science00ae21bc-8b61-45f9-b97f-178a6a80281c,total blood volume 0.013246305421351277,0,1
,hemoglobin 0.012523700882182267,1,1
,blood urea nitrogen 0.011855038900900672,0,0
,normal blood value 0.011709942648916252,0,1
,protein 0.011139169357192917,0,0
,milliliter 0.011093079987606929,1,1
,ion 0.010991248324285599,0,0
,avogadro 0.010974617649340412,0,0
,milligram 0.010914106004546294,1,1
,hemoglobin e 0.01925666217139142,0,0
,glycated hemoglobin 0.019248198264544922,0,0
,c a 0.018967069660610902,0,0
,hemoglobin c 0.01860685714456701,0,0
,embryonic hemoglobin 0.01825974163020653,0,0
,fetal hemoglobin 0.017293518479137453,0,0
,avogadro constant 0.01713378395864498,0,0
,	 0.016446995737149354,1,1
,,,
science0afdc4cf-a0b9-424d-adc8-14955f2c3638,convergent plate 0.030695609676028475,1,1
,continental plate 0.029641621219491796,1,1
,nazca plate 0.029453106588192453,1,1
,oceanic plate 0.028759694240039543,1,1
,pacific plate 0.02773668186266396,1,1
,south american plate 0.025768255520229585,1,1
,euroasian plate 0.02534756723426646,1,1
,indian plate 0.025235411978815223,1,1
,plate boundary 0.02500368156470169,1,1
,plate tectonics 0.1164042489335429,1,1
,list of tectonic plate interaction 0.10274377596706374,1,0
,farallon plate 0.10251317988630873,1,1
,eurasian plate 0.09671004388436485,1,1
,north american plate 0.08970709341597041,1,0
,indian copper plate inscription 0.07647929453749275,1,0
,,,
,attention deficit hyperactivity disorder 0.013133746626445945,1,1
science00afee9b-882c-4fc7-b655-4d2892885722,developmental disorder 0.01306404594553487,1,1
,neurodevelopmental disorder 0.012812305251617626,1,1
,different neurodevelopmental disorder 0.012798822445296877,1,1
,specific disorder 0.012695394755861579,1,0
,adhd 0.012683780744611689,1,1
,disorder 0.012579890522402923,1,1
,autism spectrum disorder 0.01247802575327292,1,1
,behavioral disorder 0.012473137979912074,1,1
,condition comorbid to autism spectrum disorder 0.033216514688321,1,1
,attention deficit hyperactivity disorder predominantly inattentive 0.03269248583044952,1,0
,history of attention deficit hyperactivity disorder 0.031131762926688903,1,0
,adult attention deficit hyperactivity disorder 0.03030020050789111,1,1
,attention deficit hyperactivity disorder management 0.02970823157563527,1,0
,specific developmental disorder 0.028733821119910373,1,1
,journal of neurodevelopmental disorder 0.028418141210822104,1,0
,autism spectrum disorder in the medium 0.0277709979521335,1,0
,diet and attention deficit hyperactivity disorder 0.027232267071388698,1,0
,,,
,,,
science0b0ef249-9131-4961-89ff-1f0b0cf44b2c,arbitrary liquid 0.055496788382716905,0,0
,liquid time gravity 0.05160068963313359,1,1
,buoyant force 0.04133818424714406,1,1
,molecule 0.0355453186491882,0,1
,total depth- time gravity 0.03546506644160536,1,1
,surface area 0.034284505481005784,1,1
,density 0.0339812106000738,1,1
,density- 0.03313640918544423,1,1
,volume time density 0.03266327472196736,1,0
,water 0.032639473002207556,0,0
,diatomic molecule 0.02302197069057797,0,0
,surface tension 0.022396423400996027,1,1
,small molecule 0.02229598860369754,0,0
,electron density 0.02218087300068452,0,0
,dispersion (water waves) 0.021980955317843907,1,1
,current density 0.021868100601724377,0,0
,energy density 0.021551892747515428,0,0
,density of air 0.021292426521290455,0,0
,electrolysis of water 0.021194111507507104,0,0
,displacement (fluid) 0.021112606404980732,1,1
,,,
,,,
science0b117ba8-d1e9-4f03-b762-f1a10a71683b,screw 0.04041778096464155,1,1
,nipper plier 0.03855829542570657,1,1
,modification 0.035285549585035145,0,0
,bumper switch 0.03209254353937363,1,1
,switch 0.03009176097924127,1,1
,blade knife 0.029056480866033588,1,1
,wire 0.028951611282220024,1,1
,gauge wire 0.028783951841019922,1,1
,right tool 0.028577974870095963,0,0
,outer shell 0.027280736360342717,0,0
,pentalobe screw 0.01901796249733225,1,0
,plier 0.018839659421314582,1,0
,syndesmotic screw 0.01879902829288495,1,0
,self-tapping screw 0.018536701874008125,1,0
,post-transcriptional modification 0.01790176143934414,1,0
,litz wire 0.017734494020435528,0,0
,shell and tube heat exchanger 0.01742872859748049,0,0
,nail clipper 0.016984809614825905,1,0
,kirschner wire 0.01667170412100503,1,0
,aerial stem modification 0.016659847897367,1,0
,,,
,,,
science0b161a08-8eab-4b58-8454-64ca026489ce,trp operon 0.02693953552452333,1,1
,repressor enzyme 0.025391715775628283,1,1
,e. coli genome 0.0253882341918442,1,1
,lac operon 0.025271457538470814,0,0
,operon 0.024765995028531253,0,1
,first enzyme 0.023858941009743544,1,0
,rna polymerase 0.023720150462463462,1,1
,amino acid 0.0233630729447815,1,1
,enzyme 0.023052701549253294,1,1
,rna polymerase bind 0.022970058056172898,0,0
,tryptophan operon leader 0.02287827191745187,0,0
,l-arabinose operon 0.021092859549862657,0,0
,gab operon 0.02106398410938519,0,0
,angiotensin-converting enzyme 2 0.02081968989896976,0,0
,rna polymerase iii 0.02033806175635781,1,0
,rna-dependent rna polymerase 0.020255440265118545,0,0
,rna polymerase ii 0.020187173392330154,0,0
,amino acid synthesis 0.01982460399627833,1,1
,,,
,,,
science0b443552-3af3-466a-b065-987fccdcb3ee,sperm cell 0.016081479001499234,1,1
,egg cytoplasm 0.015268495867961538,1,1
,little organelle 0.015260327917127756,1,1
,organelle 0.015155517955147987,1,1
,female egg cell 0.014747082073873,1,1
,different organelle 0.014411724289566209,1,0
,big organelle 0.014200842691373195,1,0
,fertilization 0.013916195079355091,1,1
,mitochondrial dna 0.013885107874959543,1,1
,flagellum spin 0.013819540474616735,0,1
,genomic imprinting 0.025302645522404455,0,0
,eukaryote 0.024362789309829054,1,0
,cell (biology) 0.023809027161988724,1,1
,organelle biogenesis 0.023640765460934035,1,0
,external fertilization 0.023378920888719946,1,1
,internal fertilization 0.022883675348623757,1,0
,prokaryote 0.022535993699279167,0,0
,human fertilization 0.022120677679398418,1,1
,,,
,,,
science0bc5134d-6181-407f-8c66-bc8017e43d69,alkyl group 0.0177925974533689,1,1
,oxime isomer 0.016895061455854277,1,1
,aldehyde 0.016626593628125408,1,1
,hydroxyl amine 0.016533564292335122,1,1
,hydrolysis 0.01571835139291515,0,1
,original aldehyde 0.015332435213366847,1,0
,benzene ring 0.015153427080763237,0,1
,acid catalyst 0.01499088043265319,1,1
,molecule 0.01492425585825533,0,0
,alkene 0.020640993723794784,1,0
,phenolic aldehyde 0.02034503853662356,1,0
,protocatechuic aldehyde 0.019956548098804778,1,0
,acid catalysis 0.019941425540408186,1,0
,alkyl 0.019746787845025322,1,1
,aldehyde dehydrogenase 0.01970346397757775,0,0
,acid hydrolysis 0.01946471829068687,0,0
,diatomic molecule 0.01940818646099224,0,0
,methyl group 0.019126604967050764,0,0
,,,
,,,
science0e2809e7-e2f7-49bc-8c5b-048d8084da3e,cell communication 0.014255860511362076,1,1
,cell communication work 0.013210325428720488,0,1
,intercom message 0.012722188930355484,0,1
,classroom 0:18and 0.012144532719269876,0,0
,little paper airplane message 0.011794986221570722,0,0
,neuron 0.011760460016790932,1,1
,neural communication 0.011589912202259578,1,1
,cell 0.011068989330877774,1,1
,intercom 0.01100859441954554,0,0
,neuron 4:18and 0.010993626057467142,1,0
,cell communication and signaling 0.022739661942977427,1,1
,cell signaling 0.021992140597774896,1,0
,cell communication (biology) 0.021321809469319362,1,1
,cellular communication (biology) 0.020591747650535876,1,1
,cell communication & adhesion 0.020395074117330124,1,0
,intercom telephone 0.019012378131247856,0,0
,educational technology 0.018197782901180813,0,0
,wireless intercom 0.018180666210498967,0,0
,cell division 0.017968079343501836,0,0
,,,
,,,
science0ea4f7db-eb25-4758-b83e-6a9bdb57d4a3,rheumatoid arthritis 0.010764539878185132,1,1
,psoriatic arthritis 0.010369070744438219,1,1
,arthritis 0.010243792636646152,1,1
,synovial lining 0.009907312045161785,1,0
,autoimmune arthritis 0.009773647909234186,1,1
,seronegative arthritis 0.009703071040859441,1,1
,inflammation 0.009648319082493247,1,1
,rheumatoid factor 0.009642926220632037,1,1
,joint inflammation qualifies 0.009486022382068676,1,0
,osteoarthritis 0.009477975197243235,1,1
,juvenile idiopathic arthritis 0.03320088642059939,1,0
,inflammatory arthritis 0.03206506394004846,1,1
,reactive arthritis 0.0316521098652102,1,0
,synovial osteochondromatosis 0.03068549593781398,1,0
,trapeziometacarpal osteoarthritis 0.030542485553532873,0,0
,ankylosing spondylitis 0.030090457861929584,0,0
,knee arthritis 0.029592162583356216,1,1
,,,
science0ec2c419-7d17-45a5-93b7-71d82bb44c08,appendicular skeleton 0.01846352129401994,1,1
,human skeleton 0.018013937676187336,1,1
,axial skeleton 0.01770712115487071,1,1
,compact bone 0.01766416057564276,1,1
,endo skeleton 0.01665240395824685,1,1
,arthropod 0.016573730697693002,1,0
,yellow bone marrow 6:05now red bone marrow 0.01645189785543392,1,1
,bug skeleton 0.016266853793447427,0,0
,skeleton 0.01612909771283449,1,1
,arthropod leg 0.028588431715900843,1,0
,arthropod exoskeleton 0.028524739898347976,1,0
,spiracle (arthropods) 0.028225385517468574,1,0
,mandible (arthropod mouthpart) 0.02813178014392575,1,0
,arthropod mouthpart 0.026746155929173464,1,0
,exoskeleton 0.02427048096892462,1,1
,,,
science0eccfbd9-6076-429c-a72e-e5c65082932c,average gravitational field 0.022105462008861987,1,1
,gravitational field 0.020723279170433775,1,1
,gravitational 0.020591103566672927,0,1
,meter 0.02057068033200199,0,0
,mass time g 0.019944038089221985,0,0
,scalar field 0.019450608193399575,0,1
,acceleration 0.01913222228260325,1,1
,meter 1:39per 0.018866017122237518,0,0
,physic context 0.01880828942490414,0,0
,gravitational acceleration 0.023394714431856242,1,1
,schwarzschild radius 0.0222539478437845,0,0
,scalar (physics) 0.02208988850180274,0,0
,newton's law of universal gravitation 0.022054890222760602,1,1
,cubic metre per second 0.021566148411741308,0,0
,homogeneity (physics) 0.021251243367821318,0,0
,gravitational constant 0.020956139073662793,1,1
,center of gravity in non-uniform field 0.02076538447057801,1,0
,angular acceleration 0.020545178788702042,0,0
,gravitational energy 0.020500190579742117,0,0
,,,
,,,
science0ee0208b-91cd-49b8-b487-b2f86c7bc091,gravitational force 0.018849424097420155,1,1
,force time displacement 0.017579822059984707,1,1
,vertical motion gravity 0.017010654541289794,1,0
,vertical displacement 0.015911664595355958,1,1
,force increase 0.01579564084987264,0,0
,horizontal displacement 0.015016660491307994,1,1
,gravity reduces 0.014620473047734573,0,0
,horizontal motion 0.01443446086263112,1,1
,displacement 0.014407169307891944,1,1
,inertial frame of reference 0.02385720199394058,0,0
,newton's law of universal gravitation 0.02319560302701151,1,1
,gravitational acceleration 0.022966327326527747,1,0
,direct integration of a beam 0.02163057473654342,0,0
,gravitational potential 0.02073032803913697,0,0
,displacement (geometry) 0.020470606216922482,0,0
,work (physics) 0.02009730860673373,1,1
,gravitational constant 0.019873555758563553,0,0
,projectile motion 0.019506292162046523,0,0
,,,
,,,
science0efbb887-7c9f-4396-8ff1-7fafa62098e7,blood vessel 0.01409322960253347,1,1
,large blood vessel 3:45and 0.013967762106767954,0,1
,blood vessel 3:25and 0.01386111130635503,0,0
,small blood vessel 0.01322149477995688,1,1
,large blood vessel 0.013152464104790063,1,1
,blood cell 0.01299468313011867,1,1
,big blood vessel 0.01296151736008131,1,1
,thin blood vessel wall 0.01288073425341819,1,0
,little blood vessel 0.012633070788383298,0,0
,lymphatic vessel 0.03060945264853538,0,0
,circulatory system 0.030383699676936944,1,1
,blood vessel disorder 0.030208410692328994,0,0
,lymphatic system 0.0290862124112288,0,0
,pulmonary circulation 0.0284712075945165,0,0
,white blood cell 0.02842367562737697,1,1
,blood transfusion 0.02780414111555695,0,0
,,,
,,,
science1ca19868-86e1-4138-8171-79e931f425d4,thermodynamics 0.03887678467682842,1,1
,chemical potential energy 0.03477993021069832,1,1
,air molecule 0.03355716080571272,0,1
,heat energy 0.032135162409252994,1,1
,chemical energy 0.03189633325758981,1,1
,actual electron 0.031560432473251306,0,0
,electrostatic potential 0.03147523909769523,1,1
,thermal energy 0.031014611597428746,1,1
,kinetic energy 0.03033084190795352,1,1
,electron 0.029947552185658147,0,1
,first law of thermodynamics 0.020568524033499777,1,1
,chemical thermodynamics 0.02034296837755139,0,0
,law of thermodynamics 0.020122051311058858,1,1
,second law of thermodynamics 0.019685608906417608,0,0
,kinetic theory of gas 0.019482925658131436,0,0
,third law of thermodynamics 0.019177362974815912,1,0
,thermodynamic potential 0.019039390216258445,1,0
,zeroth law of thermodynamics 0.018911727847500705,1,1
,conservation of energy 0.017832769755140948,1,1
,,,
science1ccd6c88-3f99-453a-b967-aaf674288432,hydrogen gas 0.02292401742304854,0,0
,ideal gas equation 0.022534540230531603,1,1
,hydrogen 0.021402974738276827,,0
,ideal gas law 0.02136701859131133,,1
,gas 0.021084464851757027,,1
,different gas 0.019969580245157163,,0
,helium 0.019940957407470115,,0
,initial temperature 0.019342472113832682,,0
,methane 0.01925297471377652,,0
,particle 0.017755902692400394,,1
,liquid hydrogen 0.01997131856618139,,0
,van der waals equation 0.01972773069058974,,0
,helium atom 0.019565516405619442,,0
,isotope of helium 0.01902419292399809,,0
,metallic hydrogen 0.018371738231767642,,0
,boyle's law 0.01826432094121627,,1
,helium dimer 0.018133205625543974,,0
,liquid helium 0.017762370551160634,,0
,,,
,,,
science1ce0b14f-fb8c-4e7d-be6e-2f5425f3fc4c,intermolecular force hydrogen bonding 0.01782777805885004,,
,hydrogen 0.017203247200488398,,
,intermolecular force 0.017184461764287003,,
,ether molecule 0.01709224100918646,,
,nonpolar part 0.016721308663356294,,
,nonpolar organic compound 0.016702649339384402,,
,nonpolar organic molecule 0.016674579317377123,,
,dimethyl ether 0.01659369556907228,,
,different ion 0.01637317127926385,,
,triethylene glycol dimethyl ether 0.02146741678898349,,
,hydrogen ion 0.02120294488159412,,
,tetraethylene glycol dimethyl ether 0.021066632026775604,,
,diatomic molecule 0.020901528691196814,,
,phenol ether 0.02037714459739704,,
,hydrogen sulfide 0.020211246992730355,,
,diethyl ether 0.02002843834370428,,
,hydrogen bond 0.019904063134159346,,
,ammonium lauryl sulfate 0.019668661441186362,,
,,,
science1d4f28fc-cb62-4280-914f-1bf1d4c89da7,smooth muscle cell 0.019170721608306296,,
,smooth muscle cells- smooth muscle cell 0.018866742943382125,,
,endothelial cell 0.017708522289281846,,
,protein 0.01702666663042413,,
,atherosclerosis 0.016803200838177917,,
,blood flow 0.016193917355004563,,
,smooth muscle 0.01596509904352508,,
,foam cell 0.015842014148300575,,
,collagen 0.015808946766675987,,
,atherosclerosis (journal) 0.022215642537357177,,
,liver sinusoidal endothelial cell 0.021397332776122505,,
,renal blood flow 0.020768690066868618,,
,muscle cell 0.02046240419879792,,
,cerebral atherosclerosis 0.02032180720937262,,
,cardiac muscle 0.020281875093352938,,
,vascular smooth muscle 0.020128559595682275,,
,vascular endothelial growth factor a 0.019957425807019587,,
,anti-smooth muscle antibody 0.019914601706369477,,
,interstitial cell of cajal 0.01963798206282853,,
,,,
,,,
science1d10a996-1f23-44d0-b28e-5d5b6f2b2213,left carotid artery 0.014491357948096669,,
,right carotid sinus 0.014320377707110652,,
,left carotid sinus 0.01417721142255547,,
,carotid sinus 0.014102181304156447,,
,autonomic nervous system 0.014075395290934425,,
,blood pressure homeostasis 0.013731037057895797,,
,right brachial artery 0.013699333265782121,,
,right carotid 0.013685666364480157,,
,parasympathetic nerve 0.013504587757826444,,
,left brachial artery 0.013439003786994537,,
,anterior cerebral artery 0.0220773330958669,,
,common carotid artery 0.021968335787794658,,
,internal carotid artery 0.02181984834368705,,
,carotid sinus nerve 0.021020889272515365,,
,cerebral venous sinus thrombosis 0.020517444429389724,,
,middle cerebral artery 0.020410245404248628,,
